pin1	pin2	pin3	pin4	pin5
34.1446	25.6994	2.57844	32.1573	23.5792
34.2335	25.7819	2.6127	32.249	23.7526
34.3217	25.8638	2.64762	32.3395	23.9248
34.4092	25.9451	2.68319	32.429	24.0956
34.4959	26.0258	2.71938	32.5174	24.2652
34.582	26.1059	2.75618	32.6047	24.4335
34.6673	26.1854	2.79358	32.6909	24.6005
34.7519	26.2643	2.83156	32.776	24.7663
34.8358	26.3426	2.87009	32.8601	24.9308
34.9191	26.4204	2.90916	32.9431	25.0941
35.0016	26.4976	2.94873	33.0251	25.2561
35.0835	26.5742	2.98879	33.106	25.4169
35.1647	26.6502	3.0293	33.1858	25.5765
35.2453	26.7257	3.07024	33.2646	25.7348
35.3251	26.8007	3.11158	33.3424	25.892
35.4044	26.8751	3.15329	33.4192	26.0479
35.4829	26.9489	3.19534	33.4949	26.2027
35.5608	27.0222	3.23769	33.5696	26.3563
35.6381	27.095	3.28033	33.6433	26.5087
35.7147	27.1672	3.32321	33.716	26.6599
35.7907	27.2389	3.3663	33.7878	26.81
35.8661	27.3101	3.40959	33.8585	26.9589
35.9409	27.3808	3.45302	33.9283	27.1067
36.015	27.4509	3.49659	33.9971	27.2533
36.0885	27.5206	3.54025	34.0649	27.3988
36.1614	27.5897	3.58398	34.1318	27.5432
36.2337	27.6583	3.62776	34.1977	27.6864
36.3054	27.7265	3.67155	34.2627	27.8286
36.3765	27.7941	3.71533	34.3268	27.9696
36.4471	27.8612	3.75909	34.3899	28.1095
36.517	27.9279	3.80278	34.4522	28.2484
36.5863	27.9941	3.84641	34.5135	28.3861
36.6551	28.0598	3.88993	34.574	28.5228
36.7233	28.125	3.93334	34.6335	28.6584
36.7909	28.1897	3.97662	34.6922	28.793
36.858	28.254	4.01974	34.75	28.9265
36.9245	28.3178	4.0627	34.807	29.0589
36.9905	28.3811	4.10547	34.8631	29.1903
37.0559	28.444	4.14805	34.9183	29.3206
37.1207	28.5064	4.19042	34.9728	29.4499
37.1851	28.5684	4.23257	35.0264	29.5782
37.2488	28.63	4.27448	35.0792	29.7054
37.3121	28.691	4.31615	35.1311	29.8316
37.3748	28.7517	4.35757	35.1823	29.9568
37.437	28.8119	4.39873	35.2327	30.081
37.4987	28.8717	4.43961	35.2824	30.2042
37.5598	28.931	4.48023	35.3312	30.3264
37.6205	28.9899	4.52055	35.3793	30.4476
37.6806	29.0484	4.56059	35.4266	30.5678
37.7402	29.1065	4.60034	35.4733	30.6871
