NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.50622,1.67816,4.4139,2.94874
1.50668,1.68027,4.41648,2.94809
1.50715,1.68212,4.4141,2.94642
1.5076,1.68358,4.41045,2.94394
1.50803,1.68468,4.40529,2.94103
1.50845,1.68545,4.39928,2.93798
1.50886,1.68597,4.39295,2.93496
1.50925,1.68628,4.38659,2.93208
1.50963,1.68645,4.37998,2.92948
1.50999,1.68653,4.37274,2.92724
1.51033,1.68656,4.36447,2.92539
1.51066,1.68659,4.3549,2.92395
1.51097,1.68662,4.34371,2.9229
1.51126,1.68667,4.33082,2.92219
1.51152,1.68676,4.3161,2.92136
1.51176,1.68689,4.29954,2.91996
1.51197,1.68705,4.28111,2.91761
1.51215,1.68724,4.26078,2.91456
1.51231,1.68747,4.23852,2.91042
1.51243,1.68773,4.21429,2.90469
1.51253,1.68802,4.1881,2.89691
1.5126,1.68833,4.16005,2.88695
1.51263,1.68867,4.13031,2.87515
1.51264,1.68902,4.09915,2.86223
1.51262,1.68938,4.06688,2.84894
1.51257,1.68976,4.03377,2.83591
1.5125,1.69337,4.00006,2.82352
1.51239,1.69884,3.96603,2.81201
1.51226,1.70464,3.93203,2.8014
1.51211,1.70896,3.89858,2.79155
1.51193,1.71126,3.8631,2.7824
1.51173,1.71269,3.82831,2.77364
1.51151,1.71349,3.7999,2.76505
1.51127,1.71386,3.77415,2.75648
1.51101,1.7139,3.75123,2.7478
1.51074,1.71372,3.73031,2.73911
1.51046,1.71336,3.71062,2.73067
1.51017,1.71289,3.69155,2.72287
1.50987,1.71234,3.67291,2.71603
1.50956,1.71173,3.65479,2.7103
1.50924,1.71106,3.63752,2.70557
1.50891,1.71033,3.62069,2.70161
1.50858,1.70954,3.60098,2.69824
1.50824,1.70871,3.58588,2.69532
1.5079,1.70784,3.57055,2.69314
1.50754,1.70692,3.55657,2.67428
1.50719,1.70596,3.54515,2.64914
1.50682,1.70496,3.53665,2.63061
1.50644,1.70391,3.53096,2.61748
1.50606,1.70283,3.52744,2.60981
1.50566,1.70171,3.52553,2.60591
1.50525,1.70056,3.52614,2.60507
1.50483,1.69938,3.52921,2.60591
1.5044,1.69818,3.5344,2.60734
1.50395,1.69695,3.54112,2.61426
